Date,Open,Volume,Low,High,Close
"May 21, 2015",234.02,15108900,233.84,236.24,235.34
"May 22, 2015",235.32,27003000,235.06,240.97,240.35
"May 23, 2015",240.29,14605000,238.69,241.03,238.87
"May 24, 2015",238.98,11508000,238.81,241.98,240.95
"May 25, 2015",240.93,14423900,236.64,241.02,237.11
"May 26, 2015",237.1,16425000,235.69,238.24,237.12
"May 27, 2015",237.06,18837000,236.69,238.64,237.28
"May 28, 2015",237.26,13829600,236.65,237.82,237.41
"May 29, 2015",237.38,14805000,235.73,237.52,237.1
"May 30, 2015",237.09,14098600,232.05,237.09,233.34
"May 31, 2015",233.13,14730800,229.54,233.25,230.19
"Jun 01, 2015",230.23,26090500,221.3,231.71,222.93
"Jun 02, 2015",222.89,20459000,222.42,226.42,225.8
"Jun 03, 2015",225.74,17752400,223.93,227.4,225.87
"Jun 04, 2015",225.77,14728100,224.05,226.58,224.32
"Jun 05, 2015",224.15,18056500,223.18,225.97,224.95
"Jun 06, 2015",225,11131500,224.38,225.72,225.62
"Jun 07, 2015",225.6,13318400,222.65,226.19,222.88
"Jun 08, 2015",222.88,23378400,222.84,229.46,228.49
"Jun 09, 2015",228.54,28353100,227.93,230.95,229.05
"Jun 10, 2015",229,15904800,228.01,229.78,228.8
"Jun 11, 2015",228.85,14416000,228.77,230.29,229.71
"Jun 12, 2015",229.71,14017700,229.31,231.06,229.98
"Jun 13, 2015",229.92,13305300,229.21,232.65,232.4
"Jun 14, 2015",232.44,12165900,232,234.86,233.54
"Jun 15, 2015",233.42,19912100,233.42,237.84,236.82
"Jun 16, 2015",236.76,41612000,236.12,251.74,250.9
"Jun 17, 2015",250.82,43858400,246.48,256.85,249.28
"Jun 18, 2015",249.43,30980200,244.13,252.11,249.01
"Jun 19, 2015",249.04,23965300,243.79,250.98,244.61
"Jun 20, 2015",244.53,20608100,240.63,245.83,245.21
"Jun 21, 2015",245.1,10600900,241.88,245.22,243.94
"Jun 22, 2015",243.97,17692500,243.78,247.92,246.99
"Jun 23, 2015",246.93,15108700,243.13,247.3,244.3
"Jun 24, 2015",244.28,17344900,240.51,244.34,240.51
"Jun 25, 2015",240.37,16133100,240.37,243.33,242.8
"Jun 26, 2015",242.6,13983500,241.55,243.75,243.59
"Jun 27, 2015",243.55,20488600,243.12,251.34,250.99
"Jun 28, 2015",250.96,15137600,247.43,251.17,249.01
"Jun 29, 2015",248.72,34742900,248.58,257.17,257.06
"Jun 30, 2015",257.04,44533800,255.95,267.87,263.07
"Jul 01, 2015",263.35,27029800,255.77,265.17,258.62
"Jul 02, 2015",258.55,21551900,254.12,261.63,255.41
"Jul 03, 2015",255.46,19033800,253.5,257.08,256.34
"Jul 04, 2015",256.49,15620400,254.2,261.46,260.89
"Jul 05, 2015",260.81,44156100,258.7,274.51,271.91
"Jul 06, 2015",271.11,49154800,267.6,277.42,269.03
"Jul 07, 2015",269.96,28857600,264.83,271.34,266.21
"Jul 08, 2015",265.98,36980200,264.39,272.97,270.79
"Jul 09, 2015",270.83,40301200,267.09,272.33,269.23
"Jul 10, 2015",269.16,100390000,268.8,294.59,284.89
"Jul 11, 2015",284.88,41109900,283.53,298.51,293.12
"Jul 12, 2015",293.14,56405000,292.5,314.39,310.87
"Jul 13, 2015",310.83,62053900,281.01,310.95,292.05
"Jul 14, 2015",292.03,28727200,286.64,296.15,287.46
"Jul 15, 2015",288.05,27486600,285.37,293.25,285.83
"Jul 16, 2015",286.04,49482600,275.24,291.18,278.09
"Jul 17, 2015",278.09,27591400,272.04,280.28,279.47
"Jul 18, 2015",279.33,25187100,274.07,282.53,274.9
"Jul 19, 2015",274.77,15332500,272.51,275.67,273.61
"Jul 20, 2015",273.5,22711400,272.96,278.98,278.98
"Jul 21, 2015",278.88,22930700,275.42,280.55,275.83
"Jul 22, 2015",275.66,19389800,274.38,277.67,277.22
"Jul 23, 2015",277.34,18531300,275.72,278.11,276.05
"Jul 24, 2015",276,37199400,275.25,289.25,288.28
"Jul 25, 2015",288.16,20662200,286,290.73,288.7
"Jul 26, 2015",288.64,16032300,287.71,293.05,292.69
"Jul 27, 2015",292.64,30592000,287.45,297.77,293.62
"Jul 28, 2015",293.63,25453600,293.42,296.65,294.43
"Jul 29, 2015",294.48,24672600,288.78,294.54,289.59
"Jul 30, 2015",289.1,21635800,286.57,290.13,287.72
"Jul 31, 2015",287.7,23629100,282.34,288.96,284.65
"Aug 01, 2015",284.69,18995000,278.11,284.93,281.6
"Aug 02, 2015",280.45,17722200,277.53,283.03,282.61
"Aug 03, 2015",282.81,21474100,280.23,285.47,281.23
"Aug 04, 2015",281.23,21908700,281.23,285.71,285.22
"Aug 05, 2015",284.85,20128000,281.49,285.5,281.88
"Aug 06, 2015",281.91,18792100,278.4,281.91,278.58
"Aug 07, 2015",278.74,42484800,276.37,280.39,279.58
"Aug 08, 2015",279.74,58533000,260.71,279.93,261
"Aug 09, 2015",261.12,23789600,260.47,267,265.08
"Aug 10, 2015",265.48,20979400,262.6,267.03,264.47
"Aug 11, 2015",264.34,25433900,264.09,270.39,270.39
"Aug 12, 2015",270.6,26815400,265.47,270.67,266.38
"Aug 13, 2015",266.18,27685500,262.84,266.23,264.08
"Aug 14, 2015",264.13,27091200,261.48,267.47,265.68
"Aug 15, 2015",265.53,19321100,261.3,266.67,261.55
"Aug 16, 2015",261.87,29717000,257.04,262.44,258.51
"Aug 17, 2015",258.49,21617900,257.12,260.5,257.98
"Aug 18, 2015",257.93,42147200,211.08,257.99,211.08
"Aug 19, 2015",225.67,60869200,222.77,237.41,226.68
"Aug 20, 2015",226.9,32275000,226.9,237.37,235.35
"Aug 21, 2015",235.35,23173800,231.72,236.43,232.57
"Aug 22, 2015",232.66,23205900,222.7,234.96,230.39
"Aug 23, 2015",230.38,18406600,225.58,232.71,228.17
"Aug 24, 2015",228.11,59220700,210.44,228.14,210.5
"Aug 25, 2015",210.07,61089200,199.57,226.32,221.61
"Aug 26, 2015",222.08,31808000,220.2,231.18,225.83
"Aug 27, 2015",226.05,21905400,223.68,228.64,224.77
